Elevation,Temperature,SoilMoisture,SoilBulk,SoilOrganicMatter,PlantDiversity
3749.08,14.39,10.94,1.54,7.14,36.47
4901.43,10.5,29.09,1.14,2.67,31.66
4463.99,13.79,19.43,1.09,3.29,33.95
4197.32,12.9,25.26,1.29,9.19,39.19
3312.04,6.96,37.23,1.59,6.85,40.51
3311.99,13.44,17.48,1.15,2.07,38.04
3116.17,-3.23,22.31,1.4,2.81,32.54
4732.35,-1.08,32.67,1.46,7.31,30.27
4202.23,-4.1,16.86,1.14,2.04,26.44
4416.15,1.51,12.31,1.44,3.29,26.1
3041.17,2.77,18.69,1.22,6.39,38.01
4939.82,0.43,14.84,1.38,7.54,26.82
4664.89,11.57,37.89,1.38,7.22,37.03
3424.68,2.14,34.24,1.32,3.79,36.63
3363.65,0.62,29,1.05,7.7,39.35
3366.81,5.85,36.14,1.5,3.9,37.96
3608.48,-2.18,34.11,1.19,4.6,35.17
4049.51,11.04,15.6,1.11,7.97,37.31
3863.89,-3.51,36.78,1.02,7.2,36.55
3582.46,14.74,26.18,1.35,8.79,42.6
4223.71,10.44,34.22,1.41,7.26,37.95
3278.99,-1.03,36.88,1.01,6.55,40.1
3584.29,-4.89,19.54,1.31,2.75,29.42
3732.72,11.31,13.3,1.14,4.94,36.3
3912.14,9.14,16.84,1.39,4.12,33.41
4570.35,9.58,22.81,1.1,3.95,32.79
3399.35,10.43,34.54,1.41,9.78,43.86
4028.47,-3.52,35.82,1.23,5.14,33.06
4184.83,2.17,10.21,1.56,9.14,30.57
3092.9,-2.68,25.32,1.08,7.05,38.05
4215.09,12.26,22.52,1.2,8.36,38.16
3341.05,7.47,16.66,1.07,6.02,38.49
3130.1,1.62,13.6,1.55,6.62,34.57
4897.77,-3.73,20.13,1.53,5.94,24.57
4931.26,1.22,38.29,1.15,3.56,30.21
4616.79,1.5,19.7,1.4,7.78,29.92
3609.23,9.59,25.56,1.49,4.25,36.42
3195.34,7.75,31.09,1.33,2.19,38.21
4368.47,12.74,20.91,1.32,7.16,35.86
3880.3,4.44,39.15,1.15,3.42,36.87
3244.08,-2.61,38.87,1.06,9.52,41.9
3990.35,9.26,17.55,1.54,9.63,36.32
3068.78,10.22,24.92,1.54,9.32,42.55
4818.64,6.23,19.03,1.38,4.96,28.78
3517.56,10.42,18.55,1.2,2.12,35.76
4325.04,4.88,11.11,1.21,9.43,33.1
3623.42,5.45,28.29,1.44,5.43,36.34
4040.14,3.55,25.08,1.54,9.73,35.36
4093.42,-4.49,11.54,1.53,9.71,29.18
3369.71,-2.84,18.36,1.47,8.82,34.52
4175.948242,4.048636689,30.07176356,1.573003929,5.554794635,30.25585236
3757.931207,14.48240559,31.12983861,1.228928964,7.456845553,44.13504673
3626.791975,2.059265872,26.48677401,0.979605806,1.904143264,38.66495465
3570.24246,-1.264405328,27.12548343,1.15319815,2.669686875,35.23516847
4730.139334,3.516996431,24.94547793,1.06396781,4.795090984,27.74350508
3955.291198,-2.10374993,27.66846052,1.206278898,5.413887164,31.70478441
3547.696352,16.14129288,24.22953878,1.127349523,8.142485151,46.15456129
3193.575212,6.157457944,7.033192205,1.080642612,6.61028269,35.70669802
4314.220773,5.929671829,23.32693399,1.258004004,2.507528537,31.82011224
3480.126464,2.090193874,33.68951181,1.369337616,1.810787597,36.14297598
4077.210816,2.549203752,18.36753013,1.415627126,8.652958221,31.43091961
4424.502255,-0.209693079,21.61660535,1.367204121,8.517158991,31.12353277
3617.779874,3.760711402,14.57324529,1.103433437,8.117949951,30.0094004
4667.561996,4.451134511,33.21599752,1.372449003,4.548401593,29.35958294
4098.551551,14.23225759,24.0322418,1.580189995,-0.287150195,31.40163388
4361.94272,5.417415776,21.70677676,1.325845681,1.260951426,26.45885377
3766.204637,7.058078713,37.40744356,1.220502671,4.14832433,41.53713774
3604.86343,10.44971872,27.25363853,1.218518527,7.385112484,37.81839288
3947.3724,10.77317213,18.14547227,1.253417766,5.167987836,34.67022422
3054.777124,6.687547135,26.6554794,1.310883016,5.553732427,40.3228432
3082.313647,2.333156294,21.32058108,1.171459003,5.733236261,40.82068692
4122.948615,16.34728414,25.89136622,1.354475008,5.945893477,35.61784012
2794.389102,4.727526734,24.88099298,1.735364185,5.657137777,40.50226553
4064.320784,4.677724071,14.02238318,1.507347996,7.96956759,32.41585399
4344.28602,-0.635979312,36.74386375,1.067921793,7.565322171,33.36358167
5144.699303,-1.128963208,19.34500407,1.327208264,4.895266067,25.41244133
3004.931745,5.305123881,14.96230467,1.391782159,3.876672387,36.24090666
4778.347282,0.130292733,21.50307059,1.450481963,3.11400384,24.19180053
4021.945808,12.82956486,10.14510883,1.341883439,6.76461273,35.21488047
4339.018804,-2.625944292,12.68127058,1.400131314,6.855469488,26.81985467
4035.119697,6.993292121,18.34011454,1.350106656,6.845889116,34.55698409
3483.268116,16.22328382,28.53557864,1.104280132,7.735998146,45.99155312
3334.369827,9.670182697,34.58612841,1.168280733,8.487358999,47.37863579
4127.941859,9.882661144,41.10882658,1.267625231,4.28241682,35.71675007
3383.082016,-0.067492806,23.66753077,1.368911721,6.805772933,39.97428528
4364.96309,4.967587216,37.19219935,1.264297818,12.78947318,36.32238611
4249.704212,-0.318679778,14.88641434,1.393315596,5.580974233,28.23925411
4300.227169,7.763544862,23.70528512,1.163771695,2.418573662,33.3964766
3636.459654,10.09127026,26.24052824,1.094879993,6.552293277,40.77201368
4112.23383,-0.480883031,25.7071121,1.320051754,3.329242685,28.87385717
4096.487781,8.295397154,33.9186201,1.491975474,2.754500996,33.67169614
3355.450317,8.017467863,28.88860285,1.398940847,15.56294298,45.11216184
4218.374094,11.78722435,32.77834137,1.422485292,5.356154427,35.63523843
4325.947447,0.193643885,22.25627531,1.226185149,6.328697092,32.89718571
5215.738321,-6.455139788,30.41258194,1.03150867,4.972511921,26.46146937
4514.68334,5.279104687,14.82586772,1.186478005,7.792429678,30.63907943
3474.108067,6.203597958,24.75147191,1.1974786,11.37838717,43.83149627
4254.423833,-7.414253728,25.99630677,1.195719614,8.215677271,31.34777057
3438.558452,4.191569743,28.81085795,1.459502662,3.188859918,36.80552244
3700.526932,2.003280847,18.57599538,1.614866907,7.119937515,34.18224116
